age,salary,bonus,dept_Finance,dept_HR,dept_IT,dept_Marketing,dept_Unknown,age_Young,age_Early Career,age_Mid Career,age_Senior,age_Experienced,salary_low,salary_medium,salary_high,tenure_days
40.0,60000.0,2592.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1836.0
23.0,60000.0,5756.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1127.0
28.0,50000.0,9233.0,0,1,0,0,0,0,1,0,0,0,1,0,0,2886.0
77.0,70000.0,2537.0,1,0,0,0,0,0,0,0,0,1,0,1,0,3640.0
60.0,60000.0,7487.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1881.0
44.0,60000.0,4763.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1798.0
72.0,60000.0,7721.0,0,1,0,0,0,0,0,0,0,1,0,1,0,894.0
48.0,50000.0,1731.0,0,1,0,0,0,0,0,0,1,0,1,0,0,358.0
47.0,70000.0,3078.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2883.0
20.0,60000.0,3903.0,1,0,0,0,0,1,0,0,0,0,0,1,0,2022.0
30.0,70000.0,5958.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1335.0
76.0,50000.0,8914.0,1,0,0,0,0,0,0,0,0,1,1,0,0,2478.0
71.0,70000.0,4671.0,1,0,0,0,0,0,0,0,0,1,0,1,0,365.0
57.0,60000.0,2172.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1148.0
38.0,60000.0,5562.0,0,0,0,1,0,0,0,1,0,0,0,1,0,726.0
60.0,60000.0,6452.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2790.0
28.0,60000.0,8881.0,0,0,1,0,0,0,1,0,0,0,0,1,0,539.0
62.0,60000.0,1817.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2591.0
20.0,60000.0,1655.0,1,0,0,0,0,1,0,0,0,0,0,1,0,2956.0
48.0,60000.0,4659.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1836.0
41.0,60000.0,5438.0,0,0,1,0,0,0,0,1,0,0,0,1,0,912.0
59.0,50000.0,2924.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1015.0
68.0,50000.0,5744.0,0,1,0,0,0,0,0,0,0,1,1,0,0,3570.0
29.0,70000.0,1723.0,1,0,0,0,0,0,1,0,0,0,0,1,0,3649.0
63.0,60000.0,1882.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2315.0
60.0,60000.0,8281.0,0,0,1,0,0,0,0,0,0,1,0,1,0,108.0
44.0,60000.0,4087.0,0,0,0,1,0,0,0,1,0,0,0,1,0,2331.0
38.0,60000.0,4413.0,0,0,1,0,0,0,0,1,0,0,0,1,0,431.0
42.0,70000.0,8048.0,0,0,0,0,1,0,0,1,0,0,0,1,0,2756.0
47.0,60000.0,5614.0,0,1,0,0,0,0,0,0,1,0,0,1,0,3065.0
48.0,60000.0,7539.0,1,0,0,0,0,0,0,0,1,0,0,1,0,548.0
75.0,70000.0,6361.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1836.0
27.0,70000.0,7437.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1807.0
20.0,70000.0,4537.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1836.0
30.0,60000.0,5617.0,0,1,0,0,0,0,1,0,0,0,0,1,0,2368.0
44.0,50000.0,7089.0,0,1,0,0,0,0,0,1,0,0,1,0,0,3026.0
35.0,70000.0,8536.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1812.0
76.0,60000.0,1160.0,0,0,1,0,0,0,0,0,0,1,0,1,0,861.0
62.0,60000.0,8043.0,0,1,0,0,0,0,0,0,0,1,0,1,0,3249.0
79.0,50000.0,3576.0,0,0,1,0,0,0,0,0,0,1,1,0,0,306.0
41.0,60000.0,2095.0,0,1,0,0,0,0,0,1,0,0,0,1,0,2779.0
63.0,60000.0,4870.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2171.0
79.0,60000.0,2366.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2037.0
31.0,70000.0,6330.0,0,0,0,0,1,0,1,0,0,0,0,1,0,2379.0
56.0,50000.0,1765.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1260.0
48.0,70000.0,3606.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1157.0
74.0,70000.0,3245.0,0,1,0,0,0,0,0,0,0,1,0,1,0,437.0
21.0,50000.0,6042.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1153.0
33.0,60000.0,2162.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1836.0
68.0,50000.0,2374.0,0,1,0,0,0,0,0,0,0,1,1,0,0,996.0
27.0,60000.0,6545.0,0,0,0,1,0,0,1,0,0,0,0,1,0,591.0
65.0,60000.0,8475.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1836.0
48.0,70000.0,2465.0,0,1,0,0,0,0,0,0,1,0,0,1,0,3580.0
44.0,70000.0,7962.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1728.0
65.0,70000.0,6180.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1644.0
18.0,70000.0,2697.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1646.0
22.0,50000.0,4333.0,1,0,0,0,0,1,0,0,0,0,1,0,0,138.0
30.0,60000.0,5033.0,0,0,1,0,0,0,1,0,0,0,0,1,0,366.0
62.0,50000.0,7392.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2615.0
20.0,60000.0,1900.0,0,1,0,0,0,1,0,0,0,0,0,1,0,2687.0
34.0,50000.0,6197.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1836.0
36.0,60000.0,2514.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1836.0
54.0,60000.0,4119.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1744.0
64.0,50000.0,8700.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2078.0
59.0,60000.0,2062.0,0,1,0,0,0,0,0,0,0,1,0,1,0,80.0
61.0,60000.0,1917.0,1,0,0,0,0,0,0,0,0,1,0,1,0,947.0
60.0,50000.0,6673.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1981.0
72.0,70000.0,1024.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1788.0
38.0,60000.0,1184.0,1,0,0,0,0,0,0,1,0,0,0,1,0,3407.0
20.0,60000.0,2990.0,0,1,0,0,0,1,0,0,0,0,0,1,0,3564.0
21.0,70000.0,9955.0,1,0,0,0,0,1,0,0,0,0,0,1,0,2230.0
48.0,60000.0,3395.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2879.0
49.0,60000.0,4659.0,0,1,0,0,0,0,0,0,1,0,0,1,0,66.0
41.0,50000.0,1544.0,0,0,0,1,0,0,0,1,0,0,1,0,0,2527.0
69.0,60000.0,6479.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2452.0
35.0,60000.0,9510.0,0,1,0,0,0,0,1,0,0,0,0,1,0,2329.0
20.0,60000.0,8056.0,0,0,0,1,0,1,0,0,0,0,0,1,0,100.0
71.0,60000.0,9855.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1576.0
48.0,60000.0,1204.0,1,0,0,0,0,0,0,0,1,0,0,1,0,3344.0
77.0,60000.0,3852.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2686.0
78.0,60000.0,8299.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1836.0
70.0,60000.0,8809.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2793.0
41.0,60000.0,2544.0,0,0,1,0,0,0,0,1,0,0,0,1,0,944.0
76.0,60000.0,8898.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1836.0
18.0,50000.0,8217.0,0,1,0,0,0,1,0,0,0,0,1,0,0,428.0
68.0,60000.0,7450.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2269.0
67.0,50000.0,5605.0,0,1,0,0,0,0,0,0,0,1,1,0,0,52.0
51.0,50000.0,9707.0,0,0,0,1,0,0,0,0,1,0,1,0,0,764.0
77.0,60000.0,9869.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3116.0
76.0,60000.0,8604.0,0,0,0,0,1,0,0,0,0,1,0,1,0,407.0
29.0,70000.0,5105.0,0,0,1,0,0,0,1,0,0,0,0,1,0,2715.0
34.0,70000.0,8762.0,1,0,0,0,0,0,1,0,0,0,0,1,0,2969.0
38.0,70000.0,5038.0,0,0,0,1,0,0,0,1,0,0,0,1,0,321.0
38.0,50000.0,6903.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1232.0
20.0,70000.0,9285.0,0,0,0,0,1,1,0,0,0,0,0,1,0,2265.0
61.0,60000.0,4463.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1676.0
45.0,60000.0,4105.0,0,0,0,1,0,0,0,1,0,0,0,1,0,2791.0
42.0,50000.0,9733.0,0,0,1,0,0,0,0,1,0,0,1,0,0,2450.0
61.0,50000.0,1367.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1672.0
23.0,60000.0,1950.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1836.0
59.0,70000.0,6504.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1162.0
47.0,50000.0,5769.0,1,0,0,0,0,0,0,0,1,0,1,0,0,79.0
49.0,50000.0,4006.0,0,0,0,1,0,0,0,0,1,0,1,0,0,2214.0
39.0,60000.0,2345.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1960.0
75.0,60000.0,5559.0,0,0,0,0,1,0,0,0,0,1,0,1,0,309.0
55.0,60000.0,4295.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1836.0
31.0,50000.0,7328.0,0,1,0,0,0,0,1,0,0,0,1,0,0,435.0
51.0,60000.0,7029.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1816.0
60.0,50000.0,2244.0,0,0,0,1,0,0,0,0,0,1,1,0,0,3377.0
64.0,50000.0,8045.0,0,0,0,1,0,0,0,0,0,1,1,0,0,476.0
75.0,60000.0,7439.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1836.0
43.0,60000.0,5619.0,0,0,0,1,0,0,0,1,0,0,0,1,0,3016.0
57.0,60000.0,9739.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1838.0
30.0,70000.0,3290.0,0,1,0,0,0,0,1,0,0,0,0,1,0,2317.0
47.0,70000.0,7865.0,0,0,1,0,0,0,0,0,1,0,0,1,0,3108.0
48.0,60000.0,6825.0,0,1,0,0,0,0,0,0,1,0,0,1,0,262.0
59.0,60000.0,3941.0,0,0,0,1,0,0,0,0,0,1,0,1,0,870.0
58.0,70000.0,8410.0,1,0,0,0,0,0,0,0,0,1,0,1,0,3459.0
67.0,70000.0,5283.0,0,0,0,0,1,0,0,0,0,1,0,1,0,195.0
56.0,60000.0,9628.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2710.0
20.0,70000.0,5597.0,0,0,1,0,0,1,0,0,0,0,0,1,0,456.0
48.0,50000.0,6252.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1836.0
48.0,60000.0,3347.0,0,0,0,1,0,0,0,0,1,0,0,1,0,1593.0
32.0,60000.0,1908.0,0,0,1,0,0,0,1,0,0,0,0,1,0,3115.0
71.0,60000.0,8493.0,1,0,0,0,0,0,0,0,0,1,0,1,0,3316.0
62.0,70000.0,9297.0,1,0,0,0,0,0,0,0,0,1,0,1,0,102.0
48.0,60000.0,9414.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1320.0
57.0,60000.0,6552.0,0,0,0,1,0,0,0,0,0,1,0,1,0,2187.0
31.0,50000.0,5222.0,1,0,0,0,0,0,1,0,0,0,1,0,0,618.0
52.0,60000.0,8416.0,0,0,1,0,0,0,0,0,1,0,0,1,0,2272.0
33.0,60000.0,4439.0,0,1,0,0,0,0,1,0,0,0,0,1,0,2945.0
67.0,60000.0,1754.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2494.0
41.0,50000.0,2106.0,0,1,0,0,0,0,0,1,0,0,1,0,0,2620.0
35.0,70000.0,8958.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1466.0
59.0,60000.0,1049.0,1,0,0,0,0,0,0,0,0,1,0,1,0,685.0
33.0,50000.0,5313.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1681.0
38.0,60000.0,3835.0,0,1,0,0,0,0,0,1,0,0,0,1,0,61.0
41.0,50000.0,1305.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1836.0
51.0,70000.0,3899.0,0,0,0,1,0,0,0,0,1,0,0,1,0,3146.0
69.0,60000.0,5462.0,0,0,0,1,0,0,0,0,0,1,0,1,0,921.0
53.0,50000.0,9413.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1400.0
60.0,60000.0,3813.0,0,0,0,0,1,0,0,0,0,1,0,1,0,954.0
44.0,60000.0,7180.0,0,0,0,1,0,0,0,1,0,0,0,1,0,265.0
56.0,70000.0,7695.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1860.0
34.0,70000.0,4345.0,0,0,0,1,0,0,1,0,0,0,0,1,0,3379.0
42.0,70000.0,4963.0,1,0,0,0,0,0,0,1,0,0,0,1,0,3332.0
68.0,70000.0,3009.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1894.0
55.0,60000.0,2337.0,0,0,0,1,0,0,0,0,1,0,0,1,0,1469.0
59.0,60000.0,3179.0,0,0,1,0,0,0,0,0,0,1,0,1,0,779.0
79.0,60000.0,8106.0,0,0,0,1,0,0,0,0,0,1,0,1,0,2027.0
38.0,50000.0,3044.0,0,0,1,0,0,0,0,1,0,0,1,0,0,102.0
21.0,60000.0,2928.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1123.0
76.0,60000.0,1021.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1042.0
77.0,50000.0,1961.0,0,1,0,0,0,0,0,0,0,1,1,0,0,656.0
47.0,70000.0,4145.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1056.0
74.0,70000.0,7740.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1855.0
50.0,70000.0,6709.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1977.0
56.0,60000.0,2268.0,0,1,0,0,0,0,0,0,0,1,0,1,0,2955.0
43.0,50000.0,6656.0,0,0,0,1,0,0,0,1,0,0,1,0,0,2381.0
48.0,60000.0,5830.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1518.0
33.0,60000.0,5875.0,0,0,1,0,0,0,1,0,0,0,0,1,0,956.0
41.0,60000.0,8954.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1836.0
22.0,60000.0,9199.0,0,0,0,1,0,1,0,0,0,0,0,1,0,3394.0
71.0,50000.0,9127.0,0,1,0,0,0,0,0,0,0,1,1,0,0,3389.0
72.0,70000.0,5331.0,0,0,0,1,0,0,0,0,0,1,0,1,0,3186.0
59.0,70000.0,4407.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1193.0
56.0,70000.0,9718.0,1,0,0,0,0,0,0,0,0,1,0,1,0,3045.0
47.0,50000.0,3621.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1976.0
77.0,50000.0,2788.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1132.0
24.0,70000.0,3685.0,0,0,0,1,0,1,0,0,0,0,0,1,0,410.0
64.0,60000.0,2836.0,0,0,0,0,1,0,0,0,0,1,0,1,0,2734.0
34.0,60000.0,6591.0,0,0,1,0,0,0,1,0,0,0,0,1,0,3381.0
48.0,70000.0,6945.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1836.0
44.0,60000.0,7366.0,0,1,0,0,0,0,0,1,0,0,0,1,0,222.0
59.0,70000.0,1879.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1766.0
22.0,60000.0,7232.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1068.0
24.0,60000.0,2636.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1614.0
24.0,50000.0,3056.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1736.0
71.0,60000.0,4697.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1836.0
31.0,60000.0,1167.0,1,0,0,0,0,0,1,0,0,0,0,1,0,2595.0
32.0,60000.0,6766.0,0,0,0,1,0,0,1,0,0,0,0,1,0,2679.0
22.0,60000.0,6084.0,0,0,1,0,0,1,0,0,0,0,0,1,0,2850.0
54.0,70000.0,4987.0,1,0,0,0,0,0,0,0,1,0,0,1,0,979.0
21.0,60000.0,4718.0,1,0,0,0,0,1,0,0,0,0,0,1,0,106.0
47.0,60000.0,4170.0,0,0,1,0,0,0,0,0,1,0,0,1,0,2934.0
37.0,70000.0,3597.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1325.0
